"","Date","Total","Anger","Trust"
"169",2020-08-17,370,0.0351351351351351,0.0621621621621622
"170",2020-08-18,272,0.0404411764705882,0.0477941176470588
"171",2020-08-19,315,0.0158730158730159,0.0412698412698413
"172",2020-08-20,325,0.0307692307692308,0.0584615384615385
"173",2020-08-21,350,0.0371428571428571,0.04
"174",2020-08-22,264,0.0946969696969697,0.0606060606060606
"175",2020-08-23,249,0.0522088353413655,0.0562248995983936
"176",2020-08-24,276,0.0579710144927536,0.0615942028985507
"177",2020-08-25,310,0.0516129032258065,0.0483870967741935
"178",2020-08-26,319,0.0344827586206897,0.0313479623824451
"179",2020-08-27,260,0.0269230769230769,0.0615384615384615
"180",2020-08-28,267,0.0224719101123595,0.0861423220973783
"181",2020-08-29,205,0.0292682926829268,0.0439024390243902
"182",2020-08-30,159,0.0251572327044025,0.0817610062893082
"183",2020-08-31,305,0.0360655737704918,0.0426229508196721
"184",2020-09-01,237,0.0421940928270042,0.0421940928270042
"185",2020-09-02,267,0.0449438202247191,0.052434456928839
"186",2020-09-03,277,0.0180505415162455,0.0324909747292419
"187",2020-09-04,265,0.0377358490566038,0.0490566037735849
"188",2020-09-05,176,0.0568181818181818,0.0625
"189",2020-09-06,231,0.0432900432900433,0.038961038961039
"190",2020-09-07,309,0.0420711974110032,0.0485436893203883
"191",2020-09-08,342,0.043859649122807,0.0263157894736842
"192",2020-09-09,361,0.038781163434903,0.038781163434903
"193",2020-09-10,365,0.0410958904109589,0.073972602739726
"194",2020-09-11,287,0.0452961672473868,0.0487804878048781
"195",2020-09-12,255,0.0274509803921569,0.0549019607843137
"196",2020-09-13,207,0.0579710144927536,0.0241545893719807
"197",2020-09-14,300,0.0566666666666667,0.0666666666666667
"198",2020-09-15,584,0.0445205479452055,0.0479452054794521
"199",2020-09-16,403,0.0421836228287841,0.0521091811414392
"200",2020-09-17,376,0.0398936170212766,0.0372340425531915
"201",2020-09-18,638,0.0532915360501567,0.0376175548589342
"202",2020-09-19,334,0.0449101796407186,0.062874251497006
"203",2020-09-20,310,0.067741935483871,0.0548387096774194
"204",2020-09-21,301,0.0498338870431894,0.0564784053156146
"205",2020-09-22,355,0.0338028169014084,0.076056338028169
"206",2020-09-23,382,0.0418848167539267,0.049738219895288
"207",2020-09-24,434,0.0552995391705069,0.0368663594470046
"208",2020-09-25,553,0.0506329113924051,0.0560578661844485
"209",2020-09-26,237,0.0675105485232067,0.0337552742616034
"210",2020-09-27,259,0.0540540540540541,0.0501930501930502
"211",2020-09-28,300,0.0466666666666667,0.0333333333333333
"212",2020-09-29,390,0.0435897435897436,0.0512820512820513
"213",2020-09-30,361,0.0415512465373961,0.0581717451523546
"214",2020-10-01,408,0.0490196078431373,0.0514705882352941
"215",2020-10-02,563,0.0337477797513321,0.0426287744227353
"216",2020-10-03,310,0.0387096774193548,0.0774193548387097
"217",2020-10-04,272,0.0330882352941176,0.0845588235294118
"218",2020-10-05,323,0.0340557275541796,0.0371517027863777
"219",2020-10-06,368,0.0353260869565217,0.0570652173913043
"220",2020-10-07,373,0.0375335120643432,0.0402144772117962
"221",2020-10-08,288,0.0381944444444444,0.0833333333333333
"222",2020-10-09,293,0.0409556313993174,0.0580204778156997
"223",2020-10-10,205,0.0195121951219512,0.0536585365853659
"224",2020-10-11,153,0.0457516339869281,0.0326797385620915
"225",2020-10-12,268,0.0149253731343284,0.0335820895522388
"226",2020-10-13,276,0.0507246376811594,0.0326086956521739
"227",2020-10-14,303,0.0396039603960396,0.0363036303630363
"228",2020-10-15,304,0.0230263157894737,0.0460526315789474
"229",2020-10-16,270,0.0259259259259259,0.0740740740740741
"230",2020-10-17,219,0.0410958904109589,0.0593607305936073
"231",2020-10-18,237,0.0548523206751055,0.0675105485232067
"232",2020-10-19,244,0.040983606557377,0.0491803278688525
"233",2020-10-20,290,0.0448275862068966,0.0310344827586207
"234",2020-10-21,402,0.0472636815920398,0.0522388059701493
"235",2020-10-22,449,0.0512249443207127,0.0356347438752784
"236",2020-10-23,1237,0.0638641875505255,0.0590137429264349
"237",2020-10-24,885,0.0734463276836158,0.0655367231638418
"238",2020-10-25,646,0.0464396284829721,0.0603715170278638
"239",2020-10-26,643,0.0544323483670296,0.0451010886469673
"240",2020-10-27,546,0.0604395604395604,0.0659340659340659
"241",2020-10-28,599,0.0467445742904841,0.0333889816360601
"242",2020-10-29,575,0.0469565217391304,0.0643478260869565
"243",2020-10-30,487,0.0431211498973306,0.0616016427104723
"244",2020-10-31,478,0.0669456066945607,0.0690376569037657
"245",2020-11-01,323,0.0464396284829721,0.0619195046439628
"246",2020-11-02,401,0.0498753117206983,0.0448877805486284
"247",2020-11-03,530,0.0264150943396226,0.0528301886792453
"248",2020-11-04,976,0.0338114754098361,0.0338114754098361
"249",2020-11-05,1029,0.0417881438289602,0.0417881438289602
"250",2020-11-06,725,0.0468965517241379,0.0579310344827586
"251",2020-11-07,558,0.0448028673835125,0.0340501792114695
"252",2020-11-08,537,0.0335195530726257,0.0484171322160149
"253",2020-11-09,793,0.0365699873896595,0.0353089533417402
"254",2020-11-10,888,0.0472972972972973,0.0439189189189189
"255",2020-11-11,733,0.0190995907230559,0.0600272851296044
"256",2020-11-12,705,0.0340425531914894,0.049645390070922
"257",2020-11-13,657,0.0532724505327245,0.0471841704718417
"258",2020-11-14,460,0.0543478260869565,0.0521739130434783
"259",2020-11-15,563,0.0603907637655417,0.044404973357016
"260",2020-11-16,589,0.033955857385399,0.032258064516129
"261",2020-11-17,610,0.0360655737704918,0.0540983606557377
"262",2020-11-18,687,0.0436681222707424,0.0422125181950509
"263",2020-11-19,664,0.0617469879518072,0.0572289156626506
"264",2020-11-20,618,0.0323624595469256,0.0436893203883495
"265",2020-11-21,469,0.070362473347548,0.0405117270788913
"266",2020-11-22,484,0.0557851239669422,0.0433884297520661
"267",2020-11-23,474,0.0337552742616034,0.0443037974683544
"268",2020-11-24,387,0.0465116279069767,0.0801033591731266
"269",2020-11-25,542,0.0590405904059041,0.0498154981549815
"270",2020-11-26,553,0.0452079566003617,0.0470162748643761
"271",2020-11-27,484,0.0599173553719008,0.0433884297520661
"272",2020-11-28,370,0.0540540540540541,0.0459459459459459
"273",2020-11-29,229,0.0611353711790393,0.0655021834061135
"274",2020-11-30,454,0.0330396475770925,0.0418502202643172
"275",2020-12-01,625,0.0352,0.0496
"276",2020-12-02,449,0.0512249443207127,0.044543429844098
"277",2020-12-03,467,0.0342612419700214,0.0578158458244111
"278",2020-12-04,511,0.0587084148727984,0.0528375733855186
"279",2020-12-05,494,0.0323886639676113,0.0283400809716599
"280",2020-12-06,560,0.0357142857142857,0.0625
"281",2020-12-07,1129,0.0655447298494243,0.0451727192205492
"282",2020-12-08,710,0.0661971830985915,0.0577464788732394
"283",2020-12-09,665,0.0421052631578947,0.0360902255639098
"284",2020-12-10,762,0.0380577427821522,0.0393700787401575
"285",2020-12-11,595,0.0420168067226891,0.0638655462184874
"286",2020-12-12,465,0.0451612903225806,0.0817204301075269
"287",2020-12-13,462,0.0367965367965368,0.0454545454545455
"288",2020-12-14,508,0.0393700787401575,0.0393700787401575
"289",2020-12-15,698,0.0429799426934097,0.0515759312320917
"290",2020-12-16,939,0.0564430244941427,0.0362087326943557
"291",2020-12-17,778,0.0475578406169666,0.06426735218509
"292",2020-12-18,735,0.036734693877551,0.0639455782312925
"293",2020-12-19,541,0.0425138632162662,0.0702402957486137
"294",2020-12-20,527,0.0303605313092979,0.0626185958254269
"295",2020-12-21,696,0.0431034482758621,0.0402298850574713
"296",2020-12-22,768,0.046875,0.046875
"297",2020-12-23,643,0.0279937791601866,0.0544323483670296
"298",2020-12-24,316,0.0316455696202532,0.0664556962025316
"299",2020-12-25,256,0.0390625,0.06640625
"300",2020-12-26,342,0.0350877192982456,0.0497076023391813
"301",2020-12-27,552,0.0344202898550725,0.0489130434782609
"302",2020-12-28,485,0.0391752577319588,0.0350515463917526
"303",2020-12-29,895,0.0581005586592179,0.0424581005586592
"304",2020-12-30,626,0.0511182108626198,0.0527156549520767
"305",2020-12-31,473,0.0295983086680761,0.0718816067653277
"306",2021-01-01,464,0.0387931034482759,0.0625
"307",2021-01-02,437,0.0526315789473684,0.0594965675057208
"308",2021-01-03,460,0.0369565217391304,0.0369565217391304
"309",2021-01-04,601,0.0532445923460899,0.0665557404326123
"310",2021-01-05,992,0.0534274193548387,0.0433467741935484
"311",2021-01-06,696,0.0344827586206897,0.0632183908045977
"312",2021-01-07,371,0.0377358490566038,0.0619946091644205
"313",2021-01-08,593,0.0472175379426644,0.0640809443507589
"314",2021-01-09,428,0.058411214953271,0.0607476635514019
"315",2021-01-10,527,0.079696394686907,0.0531309297912713
"316",2021-01-11,574,0.0348432055749129,0.0888501742160279
"317",2021-01-12,580,0.0379310344827586,0.0637931034482759
"318",2021-01-13,718,0.0445682451253482,0.0598885793871866
"319",2021-01-14,571,0.0455341506129597,0.0472854640980736
"320",2021-01-15,629,0.0476947535771065,0.0397456279809221
"321",2021-01-16,511,0.0528375733855186,0.0528375733855186
"322",2021-01-17,472,0.048728813559322,0.0529661016949153
"323",2021-01-18,599,0.0400667779632721,0.0450751252086811
"324",2021-01-19,746,0.0442359249329759,0.046916890080429
"325",2021-01-20,495,0.0525252525252525,0.0606060606060606
"326",2021-01-21,578,0.0449826989619377,0.0484429065743945
"327",2021-01-22,650,0.06,0.0384615384615385
"328",2021-01-23,615,0.0650406504065041,0.0390243902439024
"329",2021-01-24,460,0.0652173913043478,0.05
"330",2021-01-25,557,0.0412926391382406,0.0484739676840215
"331",2021-01-26,700,0.0385714285714286,0.0471428571428571
"332",2021-01-27,591,0.0406091370558376,0.050761421319797
"333",2021-01-28,905,0.0541436464088398,0.0408839779005525
"334",2021-01-29,787,0.0571791613722999,0.0546378653113088
"335",2021-01-30,546,0.0476190476190476,0.0586080586080586
"336",2021-01-31,516,0.0465116279069767,0.0562015503875969
"337",2021-02-01,592,0.0287162162162162,0.0625
"338",2021-02-02,557,0.0412926391382406,0.052064631956912
"339",2021-02-03,681,0.026431718061674,0.052863436123348
"340",2021-02-04,697,0.0272596843615495,0.0559540889526542
"341",2021-02-05,544,0.0404411764705882,0.0459558823529412
"342",2021-02-06,521,0.053742802303263,0.0710172744721689
"343",2021-02-07,461,0.0455531453362256,0.0629067245119306
"344",2021-02-08,615,0.0292682926829268,0.0373983739837398
"345",2021-02-09,624,0.0528846153846154,0.0432692307692308
"346",2021-02-10,532,0.0394736842105263,0.075187969924812
"347",2021-02-11,636,0.0361635220125786,0.0644654088050314
